District,MSE - District,MSE - Cluster,MSE - Generic,RMSE - District,RMSE - Cluster,RMSE - Generic,MAE - District,MAE - Cluster,MAE - Generic,MDAE - District,MDAE - Cluster,MDAE - Generic,EVS - District,EVS - Cluster,EVS - Generic,R2 - District,R2 - Cluster,R2 - Generic
Dindigul,0.006406968279318619,0.005457465923697157,0.0006052217771724148,0.07961390487569765,0.07337232620505332,0.024452543994213503,0.05593006567429386,0.05053908524122158,0.01659942971253231,0.037924351590657934,0.03361196389061064,0.011155662473176849,0.7174498810220801,0.758945529850894,0.7527498166716825,0.714571237009834,0.7571097315888246,0.7507696209558419
Erode,0.004155058060607379,0.0025654175351838854,0.0002747131097800981,0.06402573353203918,0.050284184337230246,0.016454427141939298,0.043536287761470165,0.03375294333383468,0.010932326825558008,0.027893416383841088,0.02118817748581892,0.006879171764980702,0.8406942917082317,0.8653746823308999,0.8654365411725929,0.8395361101780753,0.8642674452465308,0.8645735237433572
Karur,0.011407167808383278,0.0031013805539628586,0.00034032217905077025,0.10640386492372698,0.05552300764410303,0.018373175852368546,0.07776651300872924,0.03975939881437418,0.01312290567613403,0.05703645352677292,0.02679676483511855,0.00902049276925374,0.6979246605773937,0.7444525762374142,0.7383265756826083,0.6944752314801441,0.7423925787104588,0.7354914351250542
Thoothukkudi,0.007431231313851656,0.002868114796417334,0.00031625409308618305,0.0857002798622243,0.05326231517978044,0.01769091327617859,0.05933124426411984,0.036921206320398026,0.012136807494826506,0.04213327910730605,0.02507573637902662,0.008098225986265872,0.7018317743686475,0.7500008692995938,0.7445741211548891,0.6986743147140914,0.7478340190065188,0.7423384105671957
Ariyalur,0.0029680446287517585,0.0007701550859987917,0.00011606891671180292,0.053940115289602526,0.027498077650485703,0.010673255837342042,0.03558022065824321,0.017874148069662,0.0069242197109050385,0.02369572978811783,0.010908378379637686,0.004234729745743162,0.8881590087074168,0.9186817728948791,0.9069167363182256,0.8873260335685325,0.9181016985482211,0.9061870087443819
Chennai,0.003085030662465329,0.0022047508593670533,0.00034149144337129814,0.055018577156209975,0.04661243091365855,0.01829927114848701,0.03525070254149593,0.028721229611814968,0.011195952968541643,0.020575050593523537,0.015468704441045327,0.005830744293752192,0.8663392349315113,0.903323856313729,0.889411226669039,0.8649514641886209,0.9024370888876951,0.8884362612997385
Cuddalore,0.001986275328840793,0.0005447966794853523,8.896036022390567e-05,0.044138944705602284,0.023088367896365595,0.009313045235155033,0.028633633704488237,0.014612229749675734,0.005946813362464273,0.018579763867526352,0.008723677220056925,0.0035294283630531655,0.937436042360089,0.9572939436305923,0.9480076599102591,0.9368804521115525,0.956901946518507,0.9474585477291757
Kancheepuram,0.0040763356940691055,0.001748913780393653,0.00027895067348659557,0.06338505600298423,0.04130554453202106,0.016511314722964097,0.045564588982503054,0.026074086807578754,0.010275737597253148,0.03513392276877196,0.014606741541005483,0.005505894005470832,0.851730721041699,0.916024385941817,0.9016223778783433,0.8494954298395215,0.9153450940756807,0.9005970899275642
Namakkal,0.007986109948228575,0.0012049320048302186,0.00017608810838772845,0.08906390184729246,0.03455709184443995,0.013220708298079212,0.06455059981680486,0.024694285117645366,0.00940262888056554,0.04481659304384936,0.016626011194996362,0.00623590059813639,0.7827810852189769,0.8286070883415994,0.8135184999969569,0.78026558277456,0.8272698304696404,0.8116760205172553
Perambalur,0.0045311803913324076,0.0012533077720006242,0.00018271431247809432,0.06687497659970801,0.03520492365495738,0.01343078274186889,0.04528960812543097,0.0238899233918597,0.009095444562104808,0.028303696866145107,0.015118626958475087,0.005838076665539447,0.8059420589748114,0.8408844302330724,0.8273264289851986,0.8045432679944133,0.8397988229607115,0.8257858312317891
