Data,Model,Degree,MSE,RMSE,MAE,MDAE,EVS,R2
All Districts,Poly,2,0.000574296,0.023932318,0.014450871,0.00891056,0.808126069,0.80807176
All Districts,Poly,3,0.000536722,0.023134564,0.013700292,0.007949411,0.820651548,0.820593976
All Districts,Poly,4,0.000518186,0.022733052,0.013369826,0.007601937,0.826788812,0.826727372
All Districts,Poly,5,0.000527823,0.022942968,0.013489877,0.007808803,0.823577499,0.823515471
Cluster 0,Poly,2,0.004294255,0.06539925,0.045275219,0.03072803,0.748032393,0.747475693
Cluster 0,Poly,3,0.00405084,0.063509804,0.043734427,0.029001937,0.762368099,0.761864127
Cluster 0,Poly,4,0.004356341,0.065878537,0.045437903,0.030376884,0.744408358,0.743791555
Cluster 0,Poly,5,0.010572202,0.100548825,0.060359618,0.038356414,0.379036993,0.377720814
Cluster 1,Poly,2,0.002003807,0.044707226,0.029071801,0.018439001,0.850313565,0.850139635
Cluster 1,Poly,3,0.001755642,0.041851198,0.026450875,0.015299806,0.868718166,0.868566676
Cluster 1,Poly,4,0.001699105,0.041178605,0.026449552,0.015745853,0.872778648,0.872636391
Cluster 1,Poly,5,0.001868701,0.043168659,0.027781262,0.016965974,0.860012332,0.859846379
Cluster 2,Poly,2,0.001377336,0.036915944,0.021292534,0.012000607,0.802666277,0.802369367
Cluster 2,Poly,3,0.001346252,0.036498959,0.021218957,0.012401829,0.807019116,0.806739602
Cluster 2,Poly,4,0.001383067,0.037012609,0.021563623,0.01250396,0.801247151,0.80096076
Cluster 2,Poly,5,0.00219926,0.046589714,0.025907334,0.014453828,0.681792292,0.681232814
Cluster 3,Poly,2,0.008205124,0.089825127,0.060156897,0.040480417,0.678469776,0.675884677
Cluster 3,Poly,3,0.010349076,0.100890745,0.067417919,0.043516374,0.59412219,0.590412837
Cluster 3,Poly,4,0.091887748,0.281074513,0.132111852,0.068093653,-2.758700384,-2.79465057
Cluster 3,Poly,5,66192.86834,181.4581348,42.08137209,5.686937222,-2841709.402,-2867349.637
Cluster 4,Poly,2,0.002980889,0.054537253,0.037101288,0.024642662,0.821859627,0.821530586
Cluster 4,Poly,3,0.002885347,0.053650244,0.036189529,0.023223483,0.827555308,0.827268644
Cluster 4,Poly,4,0.00302224,0.054908196,0.037104863,0.024220642,0.819382857,0.819076806
Cluster 4,Poly,5,0.004179621,0.063927063,0.041800905,0.027774557,0.750448328,0.75002018
Cluster 5,Poly,2,0.005081849,0.071155292,0.048120458,0.030110846,0.823731502,0.823265547
Cluster 5,Poly,3,0.004835426,0.069407372,0.046550678,0.028007597,0.832163825,0.831723042
Cluster 5,Poly,4,0.005447428,0.073683138,0.049948365,0.031615837,0.81093379,0.810403413
Cluster 5,Poly,5,0.017670672,0.130825141,0.075539241,0.044591479,0.382951401,0.381008972
Ariyalur,Poly,2,0.002979199,0.05395648,0.035628703,0.023605189,0.888708775,0.88750891
Ariyalur,Poly,3,0.003587069,0.059010874,0.037758376,0.023697003,0.866840511,0.865486491
