Data,Max Depth,MSE,RMSE,MAE,MDAE,EVS,R2
All Districts,2,0.0009797116401574677,0.0312584293715787,0.019190542131512184,0.011098269949760757,0.6730682163725997,0.6729865426931465
All Districts,3,0.000742587290706109,0.027222608480058873,0.016007812469977328,0.009129970265399412,0.7518391816805198,0.7517810248854786
All Districts,4,0.00067053820633751,0.025866879155391133,0.01493677835482984,0.008332108661932845,0.7758878967712797,0.7758294121366002
All Districts,5,0.0006393652747219573,0.025259171648211173,0.014477159583583784,0.008055924348002197,0.786244338668408,0.786190809451918
All Districts,6,0.0006347890818439549,0.025163539631861992,0.014246717953334145,0.007904189560851755,0.7877754887105607,0.7877185722732265
All Districts,7,0.0006485382061992609,0.025423428649933008,0.014189262492449742,0.007894835490580409,0.7833416430928009,0.783286061813985
Cluster 0,2,0.005565693156774979,0.07449329230919964,0.05336425509033721,0.03634101482773307,0.6728565199498285,0.6722007483728671
Cluster 0,3,0.004773302152550005,0.06898061225863839,0.04782800026591664,0.032546952697212514,0.7192730293309654,0.7187109786254298
Cluster 0,4,0.00466351819320626,0.06817667327113884,0.04628430268852395,0.030873751308201674,0.7256883681352214,0.7251157638775578
Cluster 0,5,0.004612311029763495,0.06778124920614166,0.04540028095544495,0.029891684567289935,0.7287293517293308,0.728150628056881
Cluster 0,6,0.004752240806884886,0.06879063976551317,0.04559105555094479,0.02954900464725264,0.7204233585626015,0.7198215263382177
Cluster 0,7,0.004994020911608843,0.07049081394424479,0.046273047489783795,0.02957636854151836,0.7061586291241274,0.7055736124144018
Cluster 1,2,0.003667110721210927,0.060482060601033935,0.03900477920292773,0.023096659992425606,0.7263931826246639,0.7260740724234723
Cluster 1,3,0.0029875603580448874,0.054594570651899516,0.03337428693416737,0.019210558396401,0.776859041525872,0.7766236830372722
Cluster 1,4,0.0024964872263952918,0.04990995302682464,0.030158765993814347,0.016938699376496003,0.8134674219904687,0.8132647062229675
Cluster 1,5,0.0022391285851079187,0.0472667053784669,0.02881736528739636,0.01653182988940151,0.8326010124250842,0.8324237648909176
Cluster 1,6,0.002132813376214322,0.04613348445715268,0.028151302491475346,0.01607222430552312,0.84043481242002,0.8402549566430497
Cluster 1,7,0.0021453915364187544,0.046255994034851804,0.027976909281656224,0.015945847037730162,0.8394676315130185,0.8393086789832077
Cluster 2,2,0.0020702617375458394,0.045303129941359675,0.027983420810307632,0.016650518732779382,0.7039977636657032,0.7035993827382694
Cluster 2,3,0.0016751949944979474,0.04077946167273065,0.023897981913457454,0.014005905205852993,0.7599426370415574,0.759552957772113
Cluster 2,4,0.0015791777583875693,0.03960342358727227,0.022538218194510448,0.012550050669738957,0.7732648679807145,0.7728965557087658
Cluster 2,5,0.0015969519898412488,0.03975732651486912,0.022155125383411425,0.012247878525913903,0.7711348762174929,0.7707831517545337
Cluster 2,6,0.001643638597054739,0.04031546222111079,0.02200641055787606,0.012039941942442985,0.7641307062682174,0.7638063663127285
Cluster 2,7,0.0018183052611186023,0.042389904070817705,0.02256801408551653,0.01196083476094429,0.7393439614708341,0.7389735317851388
Cluster 3,2,0.01029457172569556,0.10085099034492885,0.07202145778158245,0.048964724075756985,0.5986579453150274,0.5942514168020312
Cluster 3,3,0.009742725818840657,0.09802245775538437,0.066970375951621,0.04356450459022542,0.6199745056265598,0.6162815178740635
Cluster 3,4,0.0098007288350438,0.09825927180795131,0.06480007790912647,0.041592707942165144,0.6164819431875151,0.6130406547181718
Cluster 3,5,0.010281541835540664,0.10060216743478981,0.06517907675778566,0.039794599103164664,0.5965432474777217,0.5929414865982455
Cluster 3,6,0.01070251522229718,0.10239286100884666,0.06597586636194148,0.04054424623027605,0.580636692722228,0.5768095919775916
Cluster 3,7,0.011429336997518209,0.10596996863076727,0.06876834170472139,0.04264647271609753,0.5494187034944844,0.5453006344925541
Cluster 4,2,0.004740072146718529,0.06876341852487125,0.04775461076145733,0.03406716252850418,0.7170699121672957,0.7166979795935788
Cluster 4,3,0.003848291655670248,0.06195325873783082,0.04127237202816007,0.026499792879060364,0.7702447812121324,0.7699111655193702
Cluster 4,4,0.0034831144622562223,0.05895099115574512,0.03855619099006906,0.0242082577870651,0.7918580957498985,0.7915665829309075
Cluster 4,5,0.00337666037949858,0.05804480863179886,0.03787103325662698,0.023882763385271937,0.7981332654412231,0.7978431560923696
Cluster 4,6,0.0034282352786387765,0.05848552411048402,0.03790399056753014,0.023473775801312265,0.7949036208841723,0.7945907324474583
Cluster 4,7,0.0035635384204013533,0.059623313822011,0.03821580471124514,0.023509145543502204,0.7868471822668779,0.7865215371989227
Cluster 5,2,0.007815130563461814,0.08824588037168271,0.06157975344846352,0.03656399116042024,0.7300756129251863,0.7288263815362263
Cluster 5,3,0.00646916338766741,0.08028890140553818,0.05351888022421845,0.03358235545091448,0.7762153777055214,0.7752377112838995
Cluster 5,4,0.005761677537054882,0.07577580750719108,0.04956969683530831,0.030113295583287937,0.8006439443474912,0.7998636440594451
Cluster 5,5,0.005650626533683154,0.07503678088912545,0.04872190531990209,0.029302893628378724,0.8044399223267475,0.8037407262598955
Cluster 5,6,0.005893156534046987,0.0766050916131368,0.04916595842748955,0.029281742741060136,0.7960857392093716,0.7953761090801269
Cluster 5,7,0.006252015633180743,0.07889530494289768,0.05001251133520943,0.029404142499500945,0.7835007758723351,0.7827438820959864
Ariyalur,2,0.0059882086426935495,0.07675535518906179,0.05268859199436175,0.03755315006489992,0.7787175512576318,0.7762526040856098
Ariyalur,3,0.0046903316705049,0.06776263596782277,0.043929990796931634,0.027508944716305637,0.827005019627173,0.8251253077262148
Ariyalur,4,0.00413609021380261,0.06373712308722089,0.04085277483763152,0.02458268022492495,0.8463170864768008,0.8447366677356614
Ariyalur,5,0.0039306103678813445,0.06214662086786811,0.039460795317416635,0.02367387007394546,0.8539629868478632,0.8526594200474805
Ariyalur,6,0.003974128363006685,0.06250723158734912,0.03888622031379426,0.023079223575565116,0.8520338941688553,0.85067301772213
Ariyalur,7,0.004168872985807797,0.06399113294165647,0.039578594802850114,0.022870982465982466,0.8439561257767414,0.8425366688876774
Chennai,2,0.005686893028081699,0.07472203029371566,0.04840524452499835,0.025206788513461524,0.7568968187923188,0.755194739091639
Chennai,3,0.0042589065626533005,0.06462798060590974,0.03932852178209251,0.01979872484101369,0.8169782097639533,0.815583582829308
Chennai,4,0.004023148104528542,0.06281888215734636,0.0370955821205392,0.018330919956884677,0.8278000444561827,0.8263974721737435
Chennai,5,0.0038837369891977867,0.061611209594147336,0.035961077982150494,0.018065780671855713,0.8341755835932121,0.832976947345732
Chennai,6,0.004186638946074078,0.06385412704613773,0.03675653537158825,0.018447418882483746,0.8210642394832688,0.8199330845433676
Chennai,7,0.00437777037825987,0.06533250897355698,0.037363078678681765,0.018410471965659522,0.8131902810941283,0.8119960032188159
Coimbatore,2,0.006077930678321285,0.07759296539628756,0.0538519588735189,0.031282212566937105,0.7656171828462395,0.763611852378885
Coimbatore,3,0.00472066739647367,0.06831192327918217,0.04447937231352786,0.027111016353614553,0.8177557841848823,0.8160378615261747
Coimbatore,4,0.004442041452554746,0.06612293224762131,0.041567724612077986,0.023754182828503626,0.8288642208873435,0.8271575556343204
Coimbatore,5,0.004554659710518109,0.06691347112768566,0.041756666690659916,0.02397622701316592,0.8239553647395461,0.8222785479143913
Coimbatore,6,0.0048140156940452246,0.06872062088682156,0.0421089350638844,0.023007348640383868,0.8139264605735369,0.8119673270826467
Coimbatore,7,0.0052096336647818,0.07151750411573066,0.04385720065650066,0.02373165578843382,0.7984553822539838,0.7963910793960146
Cuddalore,2,0.005720797956185166,0.07526633527678879,0.05230133074953534,0.03575391313720616,0.8204749705445216,0.8193142774855922
Cuddalore,3,0.0038734907013778124,0.06182091445830152,0.040848734367849984,0.024988928845106062,0.8778292834759915,0.8768889028334819
Cuddalore,4,0.0030156717790065135,0.054526339333174495,0.03514505135017112,0.021459186675518313,0.9047114119764786,0.9039619152390549
Cuddalore,5,0.0029768178751487895,0.05415224393931603,0.03305288770696098,0.018271143609025774,0.9063516133514097,0.9054365815410237
Cuddalore,6,0.0030392119499063736,0.0545981985567255,0.03221932106784806,0.01760102947388654,0.9047264129107656,0.9036810982347125
Cuddalore,7,0.0033125829307891425,0.05703093507817026,0.033219913555478,0.01717320750001486,0.8958426922978525,0.894753356575859
Dharmapuri,2,0.00710306735851994,0.08387029888202929,0.059717411017753186,0.03650850230235237,0.7346828241158982,0.7321419016955097
Dharmapuri,3,0.006000138903109456,0.07709766563800195,0.05264255570916853,0.034936331135508654,0.7749141149230608,0.7728387171792587
Dharmapuri,4,0.0060696635602091285,0.07755394668653412,0.0511360285330427,0.031824866465805145,0.7726337040665195,0.7703601556303191
