Data,Kernel,MSE,RMSE,MAE,MDAE,EVS,R2
All Districts,linear,0.0015116308575642665,0.038836992860481936,0.031099704066745924,0.027927936658033174,0.6962897456050271,0.4939935645019282
All Districts,poly,0.004113898701983489,0.06413424738366343,0.057445658556265974,0.057694582874166,0.5824483525182752,-0.38287017063206163
All Districts,rbf,0.0027356872333708666,0.05228950042417369,0.04633452160064046,0.04657051151986094,0.6845179782307046,0.08144293148478088
All Districts,sigmoid,0.0015558290596891047,0.0393987397246657,0.03302229004432851,0.03177378604000122,0.7475495713866122,0.4794992294082988
Cluster 0,linear,0.004828337825061209,0.06938942349712414,0.05259000478590746,0.04192597445825534,0.7343036660319752,0.7161979660321223
Cluster 0,poly,0.006794959588297782,0.08236649577372608,0.06746733232536331,0.06409548644718316,0.6358962756787306,0.6001307352841578
Cluster 0,rbf,0.005049896461587334,0.0709758211907661,0.055701848626622495,0.04686395495042277,0.7292157312030796,0.7030697165313144
Cluster 0,sigmoid,0.7070900162215403,0.8392220885167495,0.5115011762153565,0.3083574172470858,-38.3489409182823,-40.84154976577543
Cluster 1,linear,0.003040095674407646,0.05509528197831948,0.040112048018112904,0.03115603599659584,0.772786757486443,0.7724741943302554
Cluster 1,poly,0.0053518572776981195,0.07310256956983963,0.056477109228937075,0.04992051183081232,0.6398417347691989,0.5995312023089471
Cluster 1,rbf,0.002588182390572327,0.0508444489090806,0.037167202466490766,0.029339262595923,0.806359413568073,0.8061050793345802
Cluster 1,sigmoid,6.173929410504623,2.4834118222195003,1.776884781438311,1.2565451585164533,-448.02819287391475,-463.4408558320695
Cluster 2,linear,0.0017957468741557443,0.042272770389501904,0.028633177880038444,0.02147682510762758,0.7534033003382564,0.7417043639000127
Cluster 2,poly,0.003283403060514016,0.05723610879263817,0.04784552535491004,0.0489507390815338,0.709374428338316,0.5259250134330516
Cluster 2,rbf,0.001958801473047331,0.044159081713470466,0.032221858800618716,0.026687282849827975,0.7660212287696049,0.718306269050859
Cluster 2,sigmoid,0.0021172685500556094,0.04590956545830577,0.03293184200146212,0.027484719567658036,0.7113300358673736,0.6951598427414816
Cluster 3,linear,0.008517078103897015,0.09176199814964821,0.06477579969455474,0.04698218678787316,0.6699935347439404,0.6639045926986418
Cluster 3,poly,0.011841605982664658,0.10839953463744342,0.08280311422547626,0.07097192678216946,0.5391009743150746,0.5327395408609924
Cluster 3,rbf,0.008490281201001065,0.09162281167587252,0.06554138906704454,0.04845508144839594,0.6731001851858208,0.6655156822082986
Cluster 3,sigmoid,0.036037871982143616,0.18930202183054023,0.1460350891308634,0.12208212348071948,-0.43012972683148043,-0.44444027639351974
Cluster 4,linear,0.003735410535335042,0.06104430723106035,0.043432619044442546,0.031110364729963154,0.7778125611928469,0.7765477907020386
Cluster 4,poly,0.005902211882359163,0.07675781373444752,0.060529392370922246,0.054555748087351946,0.6886264589283254,0.6468272084623115
Cluster 4,rbf,0.0036315744345912252,0.0602021753926964,0.045224913869837575,0.03642018642046782,0.7993334534839981,0.7825333455502023
Cluster 4,sigmoid,2.9036631263301764,1.7032650323932463,1.2625310620746129,0.9848882872461455,-169.42795142367436,-173.73938555834226
Cluster 5,linear,0.006464673069530141,0.08026153306832151,0.05854308262841247,0.04607466064353253,0.7776915952027217,0.7758873493778455
Cluster 5,poly,0.009929307447465355,0.09942318164134673,0.07643463331113619,0.06987394099129006,0.6691223960484011,0.6566473636817131
Cluster 5,rbf,0.005772443392595318,0.07583930023623951,0.05457797558629312,0.04173515861882595,0.8006269629634005,0.799797977006467
Cluster 5,sigmoid,1.9154794295012454,1.3832661028027107,1.0375938664960183,0.7520025272329443,-65.18667801271124,-65.92634742611189
Ariyalur,linear,0.004032257171952167,0.06303489956704923,0.0456148085480443,0.035045708507467126,0.8515909014349186,0.8491121486090476
Ariyalur,poly,0.008268800955044035,0.09005945073794074,0.06685703827945669,0.05723655553192927,0.7085056333436789,0.6932202533426118
Ariyalur,rbf,0.004042499281201817,0.06307015546246675,0.04596257814273185,0.03676604382367512,0.8590794248398175,0.8491528072600615
Ariyalur,sigmoid,0.23248606190898077,0.4810013205653839,0.3620896463146799,0.27736729249062986,-7.729175664147853,-7.9406430767098035
Chennai,linear,0.004612646802873819,0.06742111273858956,0.050039705136491974,0.04059777984076383,0.8053076453082286,0.800245978040093
